id,hash_coordinates,hash_uuid,log_timestamp
1,"27.374990090131362,-82.63093155796015",000695.d0a5cfc6ca5d4d9ab5765292769f2be5.2105,"2024-07-10 14:52:12"
2,BA4a0FYUHJDcnyRzlvxvSVfJ9WPLotfShqYQiWuFOMvEBhDoLD/gZI3uY5EszFnlOhBb6xVnLqMdWKV+RLClAg==,wXar91fKwOaHnRAh1F4Z0BCRsOA20tpZS0FZ3mpEPkRF3hMC+r5poO0PitHq6Zx5eeP49EcUqvGOSnuZcJURJA==,"2024-07-10 14:52:47"
3,LOQySBX+izUhVqseAbx0XeMSUg6ezBuqgs6Csk9x6hzkQtS0TwXlqqtTpjF68NjVIxOOJd0cEnzXT5e1lN5NKQ==,MZUVm4F4w54pfMsZ8XIE1cBeVAzi97KQ3/ZNPyoBFbqdQKBWGiPi9jtmAVWwNSCcy1OPYjFOAJW07qzoqlUlpA==,"2024-07-10 15:07:51"
4,CC95zs8CHb1VoAZQVBQL7iLKeY76I9TOC8r9Bw/+sk0RwrDJBRbvqfL+/gKHm9Ud/j1UU0lZS9h2Tgo8nK94Mw==,MfI0+s3E2qyuTVv7mifpM1196VetL8bkVSZGkB0oIy6UIUiywwLprmB9ghelQwFUUCKvYCI3IoJUkupVRF7acw==,"2024-07-10 15:09:03"
5,YQnfqnj5VxaPiuwpn/lMHUIAU4I7XxvzfePpbm31PrBkjx4CBN3pru4xBVHz24mcjCoB38KFX9TzY2mNQ2CJ8A==,nwV19+i2LUyYTUmuRt8vN/N/WvTENCgiwChJwJlsF5FDiYx9XuiQm/Upfpy2AJt72M5olv9ZxEbiam5lkvGvcw==,"2024-07-10 15:10:19"
6,h+13G3E3r3bx8d3SKyqdzF26RtKKRju4HI9G5Fs+kkXFcFaqdo3FbYbkwOP8Vv6jUTAnNCRX8FKrrf+iJbfp8A==,cGxwD5Gb8FdKRopjic1DrWAASSyR/R5YMu1mavNwVGH7Je7V0K/ga1RN932tAM8NQLMDhg5iy3cQzzUINq3LGw==,"2024-07-10 15:15:06"
7,S6zEN/ENVRvMvq3655YhzmQP9tKsntXvRXe70qNt2vJ1dxD3ZGrCbq8hUeoZxQ8Px8ArmKl3J5u/FbI4M4J2MQ==,yaWvIY8LiM67a3r1HukNxCsIMashS0ePaGYmzP9LjRrZFdoDbE4JbmP3QN92WbQ9hVUhNXewmoWT9zcWCLW+TA==,"2024-07-10 15:17:32"
8,6IVLu359ll5UPz1rOXZ3Lajl8IJT/08xH64vY+TwELLpzP9wfohDlJHgbg7AlsKiuVl+FTPxD13BDorxXcuOog==,i5iJdfavsHWovGaOyxIojA/yqx3BTzEsEMtMhq9iWG43qxvN6hVhNPVex6dles+8ZE/Sm36vWdeX1hUcMqEnCQ==,"2024-07-10 15:18:14"
9,ZXY8gNsg056k851BJi8/B3wQMW3sIdQ/75S71Is9KxZwKkZ7m04FMBn1YwzolJLvM0ihO7GclBRXXiKNyLTxKQ==,Wxp1EohtGmKh66TnUygyXrIONyy9mTPa3Qr2JmAA05puprdX7ygouKbWgyF1JFYqBN/3rGoz3NTMjkmI64FXLA==,"2024-07-10 15:20:51"
10,RfpKvkvVQC6bzqZMv9ReGuLpYt5R2A4IqrWQPCbNt99QeJpYaOlx6JX2I6uff6AqrrdzBQhdtphxErf0T6I4WQ==,KP9gX9u5KuLqjNeI0RMM1NsxyQ2QEwxAvYvKsoLebdtfju3qIs+APNCcvGRWKh+JPimn8P6jX7sADob748/irA==,"2024-07-10 15:21:42"
